file,emotion,mean_pitch,std_pitch,H->H,H->L,L->L,L->H,H->VL,VL->VL,VL->L,L->VL,H->VH,VH->H,VH->VH,L->VH,VH->L,VL->H,VL->VH,VH->VL
03a01Fa.wav,Unknown,214.5439881519585,43.620504703936064,7.0,1.0,8.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
03a01Nc.wav,Unknown,112.81977113146519,27.1666836898822,8.0,1.0,12.0,0.0,0.0,6.0,2.0,3.0,1.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0
03a01Wa.wav,Unknown,194.38493512510675,27.873255101706206,4.0,3.0,7.0,1.0,0.0,5.0,1.0,1.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0
03a02Fc.wav,Unknown,246.06635647115897,55.767749893357255,10.0,2.0,12.0,1.0,0.0,10.0,0.0,1.0,1.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0
03a02Nc.wav,Unknown,119.73757063316229,18.89228693614131,13.0,1.0,5.0,0.0,0.0,9.0,0.0,1.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0
03a02Ta.wav,Unknown,104.11607695074319,12.544553408015739,17.0,1.0,14.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
03a02Wb.wav,Unknown,199.63718147324508,41.683348202071954,7.0,1.0,22.0,1.0,0.0,5.0,1.0,2.0,1.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0
03a02Wc.wav,Unknown,262.996894333425,54.74564187893554,9.0,2.0,8.0,3.0,1.0,5.0,0.0,1.0,2.0,1.0,7.0,0.0,1.0,1.0,0.0,0.0
03a04Ad.wav,Unknown,239.28337707203858,25.155239704871835,12.0,3.0,13.0,1.0,0.0,4.0,0.0,2.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0
03a04Fd.wav,Unknown,176.9548681373435,43.66786657691436,6.0,2.0,4.0,1.0,0.0,6.0,1.0,2.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0
03a04Lc.wav,Unknown,112.35089568338313,29.418052678966404,5.0,3.0,36.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0
03a04Nc.wav,Unknown,119.38649064466405,22.192535720574067,15.0,1.0,8.0,0.0,0.0,11.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0
03a04Ta.wav,Unknown,96.3191791218336,7.970350452669463,5.0,1.0,16.0,0.0,0.0,2.0,2.0,3.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0
03a04Wc.wav,Unknown,272.76553757104165,28.842986310338958,8.0,3.0,17.0,4.0,1.0,4.0,0.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0
03a05Aa.wav,Unknown,239.79497283996724,29.988713465705963,18.0,4.0,20.0,2.0,2.0,14.0,0.0,1.0,1.0,2.0,13.0,2.0,1.0,3.0,1.0,1.0
03a05Fc.wav,Unknown,200.60878800419616,43.85250282093168,25.0,4.0,18.0,1.0,0.0,9.0,0.0,2.0,2.0,3.0,7.0,1.0,0.0,1.0,0.0,0.0
03a05Nd.wav,Unknown,129.65412609035175,14.334762093920276,18.0,2.0,20.0,0.0,0.0,15.0,0.0,2.0,3.0,3.0,8.0,0.0,0.0,1.0,0.0,0.0
03a05Tc.wav,Unknown,105.04798495980702,10.006613644393651,10.0,4.0,25.0,1.0,0.0,8.0,1.0,1.0,0.0,3.0,11.0,2.0,0.0,0.0,0.0,0.0
03a05Wa.wav,Unknown,202.08574943476256,39.97174552193455,12.0,2.0,27.0,3.0,0.0,2.0,2.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
03a05Wb.wav,Unknown,272.7061727932131,32.78720605968422,14.0,4.0,13.0,5.0,0.0,8.0,3.0,2.0,2.0,1.0,13.0,1.0,1.0,0.0,0.0,0.0
03a07Fa.wav,Unknown,218.80436772626828,49.391449319980275,17.0,3.0,11.0,2.0,0.0,11.0,0.0,1.0,3.0,3.0,8.0,0.0,0.0,1.0,0.0,0.0
03a07Fb.wav,Unknown,259.87307224901025,51.35027638548578,20.0,3.0,25.0,2.0,0.0,5.0,2.0,3.0,0.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0
03a07La.wav,Unknown,109.59598129637092,26.028853876531894,15.0,1.0,31.0,0.0,0.0,4.0,2.0,2.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0
03a07Nc.wav,Unknown,124.98284683715148,19.70371772631912,16.0,1.0,12.0,0.0,0.0,10.0,0.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0
03a07Wc.wav,Unknown,264.12281755727196,45.0185839578493,15.0,2.0,17.0,2.0,0.0,8.0,1.0,2.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0
03b01Fa.wav,Unknown,210.40451442568195,44.87035509030408,16.0,4.0,20.0,4.0,0.0,9.0,2.0,2.0,1.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0
03b01Lb.wav,Unknown,114.1614382837968,24.115145833207382,19.0,3.0,27.0,2.0,0.0,9.0,1.0,1.0,2.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0
03b01Nb.wav,Unknown,114.71496949748646,17.85939542387827,5.0,3.0,31.0,1.0,0.0,2.0,2.0,2.0,0.0,2.0,11.0,2.0,0.0,0.0,0.0,0.0
03b01Td.wav,Unknown,119.36767984064407,26.39146852991645,10.0,2.0,6.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0
03b01Wa.wav,Unknown,204.42273501236403,42.75703405899534,17.0,3.0,23.0,1.0,0.0,6.0,0.0,1.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0
03b01Wc.wav,Unknown,191.6999902073223,43.05755059169348,22.0,3.0,26.0,2.0,0.0,6.0,1.0,1.0,1.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0
03b02Aa.wav,Unknown,211.3182944839623,25.65216841882114,15.0,5.0,18.0,3.0,0.0,9.0,2.0,4.0,3.0,4.0,13.0,1.0,0.0,1.0,1.0,0.0
03b02La.wav,Unknown,107.94790781113956,17.227054200098525,19.0,3.0,45.0,3.0,1.0,6.0,1.0,1.0,1.0,2.0,13.0,1.0,1.0,1.0,0.0,0.0
03b02Na.wav,Unknown,108.52721321993803,18.82512664746407,6.0,2.0,33.0,2.0,1.0,9.0,0.0,1.0,1.0,1.0,13.0,0.0,0.0,1.0,0.0,0.0
03b02Tb.wav,Unknown,106.8008930100651,13.879108838613234,13.0,2.0,34.0,1.0,1.0,13.0,0.0,1.0,3.0,3.0,15.0,1.0,1.0,1.0,0.0,0.0
03b02Wb.wav,Unknown,176.47267995361733,22.40599354819698,21.0,4.0,13.0,4.0,1.0,6.0,2.0,1.0,1.0,3.0,5.0,1.0,0.0,0.0,1.0,0.0
